Timestamp,Do you agree to participate?,Birth Date ,Gender,Ethnicity ,Home Location,Education,Marital Status ,Please select a type of chocolate.,Please select a type of cheese,Please select a type of alcohol (other than wine),How do you like your tea/coffee,Select a type of candy,Please choose a scent group,Choose a salad dressing,Choose a wine category,I like my wine to be.... ,"From the list below, select Red Wines you enjoy","From the list below, select Rose Wines you enjoy","From the list below, select White Wines you enjoy"
2020/08/18 6:37:33 PM CDT,Agree,34898,Female,White/Caucasian,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Soft (Brie, Camembert, Munster)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Fruity (Skittles, Starburst, Jolly Ranchers)","Clean Linen,  Fresh Air, Seaside","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Dry;Bold,Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir,Rose - Pinot Noir;Rose - White Merlot,White - Pinot Grigio
2020/08/18 6:46:14 PM CDT,Agree,20026,Male,White/Caucasian,United States of America,Master's Degree,Married,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Bold,Red - Cabernet sauvignon;Red - Pinot noir;Red - Zinfandel;Red - Syrah,Rose - Cabernet,White - Chardonnay
2020/08/18 7:43:17 PM CDT,Agree,19009,Female,White/Caucasian,United States of America,Master's Degree,Married,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Citrus, Floral, Herbal","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Malbec;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Syrah;Red - Grenache,Rose - Syrah,White - Pinot Grigio;White - Riesling;White - Moscato;White - Sauvignon Blanc;White - Viognier
2020/08/18 9:08:07 PM CDT,Agree,32629,Female,White/Caucasian,United States of America,Ph.D. or higher,Married,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,I do not drink coffee or tea,"Sour (Sour patch kids, Warheads, Lemonheads)","Cinnamon, Baked Goods, Frosting","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Syrah,Rose - Syrah;Rose - Pinot Noir,White - Chardonnay;White - Sauvignon Blanc
2020/08/18 9:43:52 PM CDT,Agree,24890,Female,Black or African-American,United States of America,High School Diploma or equivalent,Married,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Vodka,Milk &/or cream with a little tea/coffee,"Fruity (Skittles, Starburst, Jolly Ranchers)","Clean Linen,  Fresh Air, Seaside","Cream Based (Ranch, Blue cheese, Ceaser)",White,Sweet,Red - Zinfandel,Rose - Pink Moscato,White - Moscato
2020/08/18 10:23:33 PM CDT,Agree,23758,Female,White/Caucasian,United States of America,Master's Degree,Divorced,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Citrus, Floral, Herbal","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Fruity;Bold,Red - Malbec;Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Pinot noir;Red - Zinfandel;Red - Syrah;Red - Grenache,Rose - Grenache;Rose - Tempranillo;Rose - Provence,White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier;White - Chablis
2020/08/18 10:28:44 PM CDT,Agree,33262,Female,White/Caucasian,United States of America,Trade School,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Cinnamon, Baked Goods, Frosting","Cream Based (Ranch, Blue cheese, Ceaser)",White,Fruity,Red - Malbec;Red - Sangiovese;Red - Zinfandel;Red - Syrah,Rose - Sangiovese;Rose - Tempranillo;Rose - Syrah;Rose - White Zinfandel;Rose - Pink Moscato,White - Chardonnay;White - Riesling;White - Chenin Blanc;White - Gewürztraminer
2020/08/19 7:03:35 AM CDT,Agree,32629,Female,White/Caucasian,United States of America,Ph.D. or higher,Married,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,I do not drink coffee or tea,"Sour (Sour patch kids, Warheads, Lemonheads)","Cinnamon, Baked Goods, Frosting","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Syrah,Rose - Syrah;Rose - Pinot Noir,White - Chardonnay;White - Sauvignon Blanc
2020/08/19 8:40:45 AM CDT,Agree,22151,Male,White/Caucasian,United States of America,Master's Degree,Married,Dark Chocolate,"Blue-veined (Roquefort, Gorgonzola, Bleu)",Beer,Tea/coffee with a little milk &/or cream,I do not eat candy,"Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Zinfandel,Rose - Pinot Noir,White - Chardonnay;White - Sauvignon Blanc
2020/08/19 11:04:09 AM CDT,Agree,31825,Male,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Sour (Sour patch kids, Warheads, Lemonheads)","Wood, Tobacco, Musk","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Fruity;Bold,Red - Malbec;Red - Merlot,Rose - Provence,White - Chardonnay;White - Pinot Grigio;White - Moscato
2020/08/19 11:05:32 AM CDT,Agree,33474,Female,White/Caucasian,United States of America,Bachelor's Degree,Divorced,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Dry;Fruity,Red - Cabernet sauvignon,Rose - Provence,White - Sauvignon Blanc
2020/08/19 11:09:08 AM CDT,Agree,33108,Female,Latino or Hispanic,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Milk &/or cream with a little tea/coffee,I do not eat candy,"Citrus, Floral, Herbal","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Dry;Fruity;Sweet;Bold,Red - Merlot;Red - Pinot noir;Red - Syrah,Rose - Syrah,White - Riesling;White - Moscato
2020/08/19 11:09:31 AM CDT,Agree,29597,Female,White/Caucasian,United States of America,Bachelor's Degree,Divorced,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Beer,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Sweet/Herbal/Tangy (Thousand Island, Green Goddess, French)",Rose,Dry;Fruity;Sweet;Bold,Red - Malbec;Red - Pinot noir;Red - Zinfandel;Red - Lambrusco,Rose - Grenache;Rose - Tempranillo;Rose - Cabernet;Rose - Mourvedre;Rose - Provence;Rose - Pinot Noir;Rose - White Zinfandel;Rose - Pink Moscato;Rose - White Merlot,White - Chardonnay;White - Pinot Grigio;White - Riesling;White - Moscato;White - Chenin Blanc;White - Chablis
2020/08/19 11:09:43 AM CDT,Agree,32311,Female,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Beer,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Cinnamon, Baked Goods, Frosting","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Malbec;Red - Cabernet Franc,Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio;White - Riesling
2020/08/19 11:14:49 AM CDT,Agree,20832,Female,White/Caucasian,United States of America,Master's Degree,Divorced,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Bold,Red - Pinot noir;Red - Zinfandel,Rose - Pinot Noir,White - Chardonnay
2020/08/19 11:18:24 AM CDT,Agree,33384,Male,White/Caucasian,United States of America,Ph.D. or higher,Single (Never Married),Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Citrus, Floral, Herbal","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Bold,Red - Malbec;Red - Zinfandel;Red - Syrah;Red - Grenache,Rose - Pink Moscato,White - Chardonnay;White - Pinot Grigio;White - Sauvignon Blanc
2020/08/19 11:20:49 AM CDT,Agree,30769,Female,White/Caucasian,United States of America,Bachelor's Degree,Other/Prefer not to say,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Milk &/or cream with a little tea/coffee,"Candy Bar (Snicker, Milky way, Twix)","Citrus, Floral, Herbal","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Syrah,Rose - Cabernet;Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio;White - Riesling
2020/08/19 11:22:44 AM CDT,Agree,32960,Female,White/Caucasian,United States of America,Bachelor's Degree,Divorced,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Wood, Tobacco, Musk","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Dry;Bold,Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Zinfandel;Red - Syrah;Red - Lambrusco,Rose - Grenache;Rose - Sangiovese;Rose - Tempranillo;Rose - Syrah;Rose - Cabernet;Rose - Mourvedre;Rose - Provence;Rose - Tavel;Rose - Pinot Noir;Rose - White Zinfandel;Rose - Pink Moscato;Rose - White Merlot,White - Chardonnay;White - Riesling;White - Moscato;White - Sauvignon Blanc;White - Chenin Blanc;White - Semillon;White - Chablis;White - Gewürztraminer
2020/08/19 11:26:12 AM CDT,Agree,32771,Male,Latino or Hispanic,United States of America,Ph.D. or higher,Single (Never Married),Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Milk &/or cream with a little tea/coffee,"Sour (Sour patch kids, Warheads, Lemonheads)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Rose,Fruity,Red - Malbec,Rose - Syrah,White - Moscato
2020/08/19 11:28:28 AM CDT,Agree,27844,Female,White/Caucasian,United States of America,High School Diploma or equivalent,Single (Never Married),Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Tea/coffee with a little milk &/or cream,"Fruity (Skittles, Starburst, Jolly Ranchers)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Fruity,Red - Malbec;Red - Sangiovese;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Zinfandel;Red - Syrah,Rose - Grenache;Rose - Sangiovese;Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio;White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier;White - Gewürztraminer;White - Tokaji
2020/08/19 11:31:44 AM CDT,Agree,32527,Female,White/Caucasian,United States of America,Bachelor's Degree,Married,Dark Chocolate,I don't eat cheese,Vodka,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Citrus, Floral, Herbal","Cream Based (Ranch, Blue cheese, Ceaser)",Red,Bold,Red - Malbec;Red - Sangiovese;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Zinfandel;Red - Syrah,Rose - Grenache;Rose - Sangiovese;Rose - Tempranillo;Rose - Syrah;Rose - Provence;Rose - White Zinfandel,White - Chardonnay;White - Pinot Grigio;White - Moscato;White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier;White - Chablis
2020/08/19 11:32:13 AM CDT,Agree,29941,Male,White/Caucasian,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Dry,Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Pinot noir;Red - Zinfandel;Red - Grenache;Red - Gamay;Red - Lambrusco,Rose - Grenache;Rose - Tempranillo;Rose - Provence;Rose - Pinot Noir,White - Pinot Grigio;White - Riesling;White - Sauvignon Blanc;White - Chenin Blanc;White - Semillon;White - Viognier;White - Marsanne;White - Gewürztraminer;White - Tokaji
2020/08/19 11:33:56 AM CDT,Agree,30742,Female,White/Caucasian,United States of America,Bachelor's Degree,Married,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Wood, Tobacco, Musk",I do not use dressing/eat salads,White,Sweet,Red - Zinfandel,Rose - Pink Moscato,White - Moscato
2020/08/19 11:43:31 AM CDT,Agree,31947,Female,White/Caucasian,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,Tea/coffee with a little milk &/or cream,"Fruity (Skittles, Starburst, Jolly Ranchers)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Dry;Fruity,Red - Malbec;Red - Sangiovese;Red - Merlot;Red - Pinot noir;Red - Grenache;Red - Lambrusco,Rose - Tempranillo;Rose - Pinot Noir;Rose - White Merlot,White - Pinot Grigio;White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier
2020/08/19 11:47:29 AM CDT,Agree,28613,Male,White/Caucasian,United States of America,Ph.D. or higher,Married,Dark Chocolate,"Soft (Brie, Camembert, Munster)",Whiskey/Scotch,Black (with nothing added),I do not eat candy,"Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry,Red - Malbec;Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Zinfandel;Red - Syrah;Red - Grenache;Red - Gamay;Red - Lambrusco,Rose - Grenache;Rose - Sangiovese;Rose - Tempranillo;Rose - Syrah;Rose - Cabernet;Rose - Mourvedre;Rose - Provence;Rose - Tavel;Rose - Pinot Noir,White - Chardonnay;White - Pinot Grigio;White - Riesling;White - Moscato;White - Sauvignon Blanc;White - Chenin Blanc;White - Semillon;White - Viognier;White - Marsanne;White - Chablis;White - Gewürztraminer;White - Tokaji
2020/08/19 11:47:32 AM CDT,Agree,36124,Male,White/Caucasian,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Vodka,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Citrus, Floral, Herbal","Cream Based (Ranch, Blue cheese, Ceaser)",White,Bold,Red - Malbec;Red - Cabernet sauvignon,Rose - Pink Moscato,White - Pinot Grigio
2020/08/19 11:50:41 AM CDT,Agree,33492,Female,White/Caucasian,Europe,Ph.D. or higher,Married,Milk Chocolate,"Blue-veined (Roquefort, Gorgonzola, Bleu)",Whiskey/Scotch,Black (with nothing added),I do not eat candy,"Cinnamon, Baked Goods, Frosting","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Fruity;Bold,Red - Malbec;Red - Merlot;Red - Pinot noir;Red - Lambrusco,Rose - Syrah;Rose - Pinot Noir,White - Pinot Grigio;White - Riesling;White - Chablis;White - Gewürztraminer
2020/08/19 11:53:45 AM CDT,Agree,32951,Female,White/Caucasian,United States of America,Bachelor's Degree,Divorced,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Tequila,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Wood, Tobacco, Musk","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",White,Fruity;Bold,Red - Malbec;Red - Sangiovese;Red - Zinfandel;Red - Grenache,Rose - Grenache;Rose - Sangiovese;Rose - Tempranillo;Rose - Mourvedre;Rose - Pinot Noir,White - Pinot Grigio;White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier;White - Chablis
2020/08/19 11:59:22 AM CDT,Agree,32225,Male,White/Caucasian,United States of America,Ph.D. or higher,Married,Dark Chocolate,"Blue-veined (Roquefort, Gorgonzola, Bleu)",Whiskey/Scotch,I do not drink coffee or tea,"Sour (Sour patch kids, Warheads, Lemonheads)","Cinnamon, Baked Goods, Frosting","Cream Based (Ranch, Blue cheese, Ceaser)",White,Dry;Fruity;Sweet;Bold,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Syrah;Red - Grenache,Rose - Provence,White - Chardonnay;White - Riesling;White - Sauvignon Blanc;White - Chenin Blanc;White - Semillon;White - Viognier;White - Marsanne;White - Chablis;White - Gewürztraminer;White - Tokaji
2020/08/19 12:03:32 PM CDT,Agree,30408,Female,White/Caucasian,United States of America,Trade School,Divorced,Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Fruity,Red - Malbec;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Zinfandel;Red - Syrah,Rose - Syrah;Rose - Cabernet;Rose - Pinot Noir;Rose - White Zinfandel;Rose - Pink Moscato,White - Pinot Grigio;White - Riesling
2020/08/19 12:13:19 PM CDT,Agree,30868,Female,White/Caucasian,United States of America,Other/Prefer not to say,Single (Never Married),Dark Chocolate,"Blue-veined (Roquefort, Gorgonzola, Bleu)",Whiskey/Scotch,Black (with nothing added),"Fruity (Skittles, Starburst, Jolly Ranchers)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Bold,Red - Malbec;Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Zinfandel;Red - Syrah;Red - Grenache,Rose - Grenache;Rose - Sangiovese;Rose - Tempranillo;Rose - Syrah;Rose - Cabernet;Rose - Provence;Rose - Pinot Noir,White - Pinot Grigio;White - Sauvignon Blanc;White - Viognier;White - Chablis;White - Gewürztraminer
2020/08/19 12:13:44 PM CDT,Agree,30964,Male,White/Caucasian,United States of America,High School Diploma or equivalent,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Whiskey/Scotch,I do not drink coffee or tea,"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside",I do not use dressing/eat salads,Red,Dry,Red - Malbec;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir,Rose - Cabernet;Rose - Pinot Noir,White - Chardonnay;White - Riesling;White - Viognier;White - Gewürztraminer
2020/08/19 12:28:58 PM CDT,Agree,33768,Male,White/Caucasian,United States of America,Bachelor's Degree,Single (Never Married),Dark Chocolate,"Soft (Brie, Camembert, Munster)",Beer,Black (with nothing added),"Candy Bar (Snicker, Milky way, Twix)","Clean Linen,  Fresh Air, Seaside","Cream Based (Ranch, Blue cheese, Ceaser)",White,Sweet,Red - Merlot,Rose - Pinot Noir,White - Pinot Grigio
2020/08/19 12:29:02 PM CDT,Agree,34801,Male,White/Caucasian,United States of America,High School Diploma or equivalent,Single (Never Married),Milk Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Clean Linen,  Fresh Air, Seaside","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Fruity,Red - Cabernet sauvignon;Red - Merlot,Rose - Cabernet;Rose - Pinot Noir,White - Gewürztraminer
2020/08/19 12:40:18 PM CDT,Agree,31176,Female,White/Caucasian,Europe,High School Diploma or equivalent,Single (Never Married),Milk Chocolate,I don't eat cheese,Tequila,Tea/coffee with a little milk &/or cream,"Candy Bar (Snicker, Milky way, Twix)","Cinnamon, Baked Goods, Frosting",I do not use dressing/eat salads,White,Sweet,Red - Cabernet sauvignon,Rose - Pinot Noir,White - Sauvignon Blanc
2020/08/19 12:40:19 PM CDT,Agree,29225,Male,White/Caucasian,Europe,Master's Degree,Married,Dark Chocolate,"Firm/Semi-firm (Cheddar, Gouda, Parmesan)",Beer,Black (with nothing added),"Sour (Sour patch kids, Warheads, Lemonheads)","Cinnamon, Baked Goods, Frosting","Vinegar/Vinaigrettes (Balsamic, Oil & Vinegar, Italian)",Red,Dry;Fruity,Red - Malbec;Red - Nebbiolo;Red - Sangiovese;Red - Cabernet Franc;Red - Cabernet sauvignon;Red - Merlot;Red - Pinot noir;Red - Zinfandel;Red - Syrah;Red - Grenache;Red - Gamay,Rose - Tavel;Rose - Pinot Noir,White - Riesling;White - Sauvignon Blanc;White - Chenin Blanc;White - Viognier
